| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20100728 || knulp || [wiki:compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 107561772 || 12649331 || 4540 (26950) || 0 (388) || 32 (2860) || 400(408) || Checksum OK || [wiki:runs_17 Run 17]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 107659876 || 12651642 || 4540 (26950) || 0 (388) || 32 (2860) || 400(408) || Checksum OK || [wiki:runs_18 Run 18]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 107561938 || 12650727 || 4540 (26950) || 0 (388) || 32 (2860) || 400(408) || Checksum OK || [wiki:runs_19 Run 19]
|20100730 || knulp || [wiki:compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 107558546 || 12648317 || 4540 (26950) || 0 (388) || 32 (2860) || 400(408) || Checksum OK || [wiki:runs_20 Run 20]
|20101017 || clix || [wiki:compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 107564598 || 12648782 || 4540 (26994) || 0 (388) || 32 (2860) || 400(408) || Checksum OK || [wiki:runs_24 Run 24]
|20100728 || knulp || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 43616818 || 5191323 || 2328 (18526) || 0 (384) || 32 (2860) || 424(440) || Checksum OK || [wiki:runs_17 Run 17]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 43573909 || 5191040 || 2328 (18526) || 0 (384) || 32 (2860) || 424(440) || Checksum OK || [wiki:runs_18 Run 18]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 43573111 || 5190375 || 2328 (18526) || 0 (384) || 32 (2860) || 424(440) || Checksum OK || [wiki:runs_19 Run 19]
|20100730 || knulp || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 43574424 || 5189727 || 2328 (18526) || 0 (384) || 32 (2860) || 424(440) || Checksum OK || [wiki:runs_20 Run 20]
|20101017 || clix || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 43647441 || 5196859 || 2300 (18534) || 0 (384) || 32 (2860) || 424(440) || Checksum OK || [wiki:runs_24 Run 24]
|20100728 || knulp || [wiki:compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 32284370 || 3821522 || 2304 (18410) || 0 (384) || 32 (2860) || 424(432) || Checksum OK || [wiki:runs_17 Run 17]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 32285817 || 3821522 || 2304 (18410) || 0 (384) || 32 (2860) || 424(432) || Checksum OK || [wiki:runs_18 Run 18]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 32284869 || 3825895 || 2304 (18410) || 0 (384) || 32 (2860) || 424(432) || Checksum OK || [wiki:runs_19 Run 19]
|20100730 || knulp || [wiki:compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 32282924 || 3820891 || 2304 (18410) || 0 (384) || 32 (2860) || 424(432) || Checksum OK || [wiki:runs_20 Run 20]
|20101017 || clix || [wiki:compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 32324220 || 3823883 || 2284 (18426) || 0 (384) || 32 (2860) || 428(436) || Checksum OK || [wiki:runs_24 Run 24]
|20100728 || knulp || [wiki:compilernames armeb-uclibc-gcc -O3] || 4.1.2 || 31728946 || 3759810 || 2356 (19374) || 0 (384) || 32 (2856) || 428(444) || Checksum OK || [wiki:runs_17 Run 17]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O3] || 4.1.2 || 31728796 || 3765330 || 2356 (19374) || 0 (384) || 32 (2856) || 428(444) || Checksum OK || [wiki:runs_18 Run 18]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O3] || 4.1.2 || 31731340 || 3761373 || 2356 (19374) || 0 (384) || 32 (2856) || 428(444) || Checksum OK || [wiki:runs_19 Run 19]
|20100730 || knulp || [wiki:compilernames armeb-uclibc-gcc -O3] || 4.1.2 || 31729228 || 3759578 || 2356 (19374) || 0 (384) || 32 (2856) || 428(444) || Checksum OK || [wiki:runs_20 Run 20]
|20101017 || clix || [wiki:compilernames armeb-uclibc-gcc -O3] || 4.1.2 || 31707050 || 3750766 || 2336 (19390) || 0 (384) || 32 (2856) || 432(448) || Checksum OK || [wiki:runs_24 Run 24]
|20100728 || knulp || [wiki:compilernames armeb-uclibc-gcc -Os] || 4.1.2 || 32999844 || 3919942 || 2096 (17806) || 0 (384) || 32 (2860) || 392(408) || Checksum OK || [wiki:runs_17 Run 17]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -Os] || 4.1.2 || 33004050 || 3920707 || 2096 (17806) || 0 (384) || 32 (2860) || 392(408) || Checksum OK || [wiki:runs_18 Run 18]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -Os] || 4.1.2 || 33004549 || 3920508 || 2096 (17806) || 0 (384) || 32 (2860) || 392(408) || Checksum OK || [wiki:runs_19 Run 19]
|20100730 || knulp || [wiki:compilernames armeb-uclibc-gcc -Os] || 4.1.2 || 33004416 || 3924680 || 2096 (17806) || 0 (384) || 32 (2860) || 392(408) || Checksum OK || [wiki:runs_20 Run 20]
|20101017 || clix || [wiki:compilernames armeb-uclibc-gcc -Os] || 4.1.2 || 32991265 || 3919610 || 2096 (17842) || 0 (384) || 32 (2860) || 392(408) || Checksum OK || [wiki:runs_24 Run 24]
