| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20100728 || knulp || [wiki:compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 28295767 || 1930013 || 109140 (131550) || 220 (608) || 36 (2864) || 1100(1108) || Checksum failed || [wiki:runs_17 Run 17]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 28297296 || 1929132 || 109140 (131550) || 220 (608) || 36 (2864) || 1100(1108) || Checksum failed || [wiki:runs_18 Run 18]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 28331627 || 1929148 || 109140 (131550) || 220 (608) || 36 (2864) || 1100(1108) || Checksum failed || [wiki:runs_19 Run 19]
|20100730 || knulp || [wiki:compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 28297363 || 1928650 || 109140 (131550) || 220 (608) || 36 (2864) || 1100(1108) || Checksum failed || [wiki:runs_20 Run 20]
|20101017 || clix || [wiki:compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 16494361 || 1076735 || 29328 (51782) || 220 (608) || 36 (2864) || 1200(1208) || Checksum failed || [wiki:runs_24 Run 24]
|20100728 || knulp || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 17594437 || 1313342 || 78572 (94770) || 224 (608) || 36 (2864) || 2304(2320) || Checksum failed || [wiki:runs_17 Run 17]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 17589965 || 1291197 || 78572 (94770) || 224 (608) || 36 (2864) || 2304(2320) || Checksum failed || [wiki:runs_18 Run 18]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 17595152 || 1313259 || 78572 (94770) || 224 (608) || 36 (2864) || 2304(2320) || Checksum failed || [wiki:runs_19 Run 19]
|20100730 || knulp || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 17589583 || 1310516 || 78572 (94770) || 224 (608) || 36 (2864) || 2304(2320) || Checksum failed || [wiki:runs_20 Run 20]
|20101017 || clix || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 6853340 || 490354 || 19468 (35702) || 224 (608) || 36 (2864) || 996(1012) || Checksum failed || [wiki:runs_24 Run 24]
|20100728 || knulp || [wiki:compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 38004983 || 2905535 || 151232 (167338) || 224 (608) || 36 (2864) || 7164(7172) || Checksum failed || [wiki:runs_17 Run 17]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 37910752 || 2902659 || 151232 (167338) || 224 (608) || 36 (2864) || 7164(7172) || Checksum failed || [wiki:runs_18 Run 18]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 37978566 || 2903340 || 151232 (167338) || 224 (608) || 36 (2864) || 7164(7172) || Checksum failed || [wiki:runs_19 Run 19]
|20100730 || knulp || [wiki:compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 37975590 || 2899799 || 151232 (167338) || 224 (608) || 36 (2864) || 7164(7172) || Checksum failed || [wiki:runs_20 Run 20]
|20101017 || clix || [wiki:compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 6682153 || 475542 || 25524 (41666) || 224 (608) || 36 (2864) || 1780(1788) || Checksum failed || [wiki:runs_24 Run 24]
|20100728 || knulp || [wiki:compilernames armeb-uclibc-gcc -O3] || 4.1.2 || 43192249 || 3231401 || 169124 (186142) || 224 (608) || 36 (2860) || 7164(7180) || Checksum failed || [wiki:runs_17 Run 17]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O3] || 4.1.2 || 43111368 || 3232881 || 169124 (186142) || 224 (608) || 36 (2860) || 7164(7180) || Checksum failed || [wiki:runs_18 Run 18]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O3] || 4.1.2 || 43136605 || 3230304 || 169124 (186142) || 224 (608) || 36 (2860) || 7164(7180) || Checksum failed || [wiki:runs_19 Run 19]
|20100730 || knulp || [wiki:compilernames armeb-uclibc-gcc -O3] || 4.1.2 || 43168542 || 3231102 || 169124 (186142) || 224 (608) || 36 (2860) || 7164(7180) || Checksum failed || [wiki:runs_20 Run 20]
|20101017 || clix || [wiki:compilernames armeb-uclibc-gcc -O3] || 4.1.2 || 7584658 || 553496 || 34508 (51562) || 224 (608) || 36 (2860) || 3388(3404) || Checksum failed || [wiki:runs_24 Run 24]
|20100728 || knulp || [wiki:compilernames armeb-uclibc-gcc -Os] || 4.1.2 || 58837371 || 4100673 || 167057 (182767) || 224 (608) || 36 (2864) || 7164(7180) || Checksum failed || [wiki:runs_17 Run 17]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -Os] || 4.1.2 || 58717971 || 4086375 || 167057 (182767) || 224 (608) || 36 (2864) || 7164(7180) || Checksum failed || [wiki:runs_18 Run 18]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -Os] || 4.1.2 || 58580515 || 4071213 || 167057 (182767) || 224 (608) || 36 (2864) || 7164(7180) || Checksum failed || [wiki:runs_19 Run 19]
|20100730 || knulp || [wiki:compilernames armeb-uclibc-gcc -Os] || 4.1.2 || 58733149 || 4060340 || 167057 (182767) || 224 (608) || 36 (2864) || 7164(7180) || Checksum failed || [wiki:runs_20 Run 20]
|20101017 || clix || [wiki:compilernames armeb-uclibc-gcc -Os] || 4.1.2 || 7487800 || 545450 || 24917 (40663) || 224 (608) || 36 (2864) || 2000(2016) || Checksum failed || [wiki:runs_24 Run 24]
