| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20100725 || hal || [wiki:compilernames arm-artila-gcc -O0] || 3.3.2 || 39480716 || 2962069 || 75954 (97991) || 4 (476) || 32 (476) || 796(809) || Checksum OK || [wiki:runs_13 Run 13]
|20100726 || hal || [wiki:compilernames arm-artila-gcc -O0] || 3.3.2 || 36692989 || 2959043 || 75954 (97991) || 4 (476) || 32 (476) || 796(809) || Checksum OK || [wiki:runs_14 Run 14]
|20100727 || hal || [wiki:compilernames arm-artila-gcc -O0] || 3.3.2 || 36688973 || 2951134 || 75954 (97991) || 4 (476) || 32 (476) || 796(809) || Checksum OK || [wiki:runs_15 Run 15]
|20100728 || hal || [wiki:compilernames arm-artila-gcc -O0] || 3.3.2 || 36612641 || 2958671 || 75954 (97991) || 4 (476) || 32 (476) || 796(809) || Checksum OK || [wiki:runs_16 Run 16]
|20100725 || hal || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || 9527276 || 463725 || 42338 (59222) || 4 (476) || 32 (476) || 728(728) || Checksum OK || [wiki:runs_13 Run 13]
|20100726 || hal || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || 9559496 || 458550 || 42338 (59222) || 4 (476) || 32 (476) || 728(728) || Checksum OK || [wiki:runs_14 Run 14]
|20100727 || hal || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || 9517331 || 445950 || 42338 (59222) || 4 (476) || 32 (476) || 728(728) || Checksum OK || [wiki:runs_15 Run 15]
|20100728 || hal || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || 9512764 || 446186 || 42338 (59222) || 4 (476) || 32 (476) || 728(728) || Checksum OK || [wiki:runs_16 Run 16]
|20100725 || hal || [wiki:compilernames arm-artila-gcc -O2] || 3.3.2 || 12408435 || 406114 || 49450 (66130) || 4 (476) || 32 (476) || 1732(1732) || Checksum OK || [wiki:runs_13 Run 13]
|20100726 || hal || [wiki:compilernames arm-artila-gcc -O2] || 3.3.2 || 12409358 || 406958 || 49450 (66130) || 4 (476) || 32 (476) || 1732(1732) || Checksum OK || [wiki:runs_14 Run 14]
|20100727 || hal || [wiki:compilernames arm-artila-gcc -O2] || 3.3.2 || 12396431 || 407396 || 49450 (66130) || 4 (476) || 32 (476) || 1732(1732) || Checksum OK || [wiki:runs_15 Run 15]
|20100728 || hal || [wiki:compilernames arm-artila-gcc -O2] || 3.3.2 || 12404115 || 406676 || 49450 (66130) || 4 (476) || 32 (476) || 1732(1732) || Checksum OK || [wiki:runs_16 Run 16]
|20100725 || hal || [wiki:compilernames arm-artila-gcc -O3] || 3.3.2 || 12424849 || 404753 || 49618 (69638) || 4 (476) || 32 (476) || 1732(1732) || Checksum OK || [wiki:runs_13 Run 13]
|20100726 || hal || [wiki:compilernames arm-artila-gcc -O3] || 3.3.2 || 12427020 || 404944 || 49618 (69638) || 4 (476) || 32 (476) || 1732(1732) || Checksum OK || [wiki:runs_14 Run 14]
|20100727 || hal || [wiki:compilernames arm-artila-gcc -O3] || 3.3.2 || 12669784 || 404955 || 49618 (69638) || 4 (476) || 32 (476) || 1732(1732) || Checksum OK || [wiki:runs_15 Run 15]
|20100728 || hal || [wiki:compilernames arm-artila-gcc -O3] || 3.3.2 || 12413903 || 404888 || 49618 (69638) || 4 (476) || 32 (476) || 1732(1732) || Checksum OK || [wiki:runs_16 Run 16]
|20100725 || hal || [wiki:compilernames arm-artila-gcc -Os] || 3.3.2 || 11429314 || 374929 || 47546 (64087) || 4 (476) || 32 (476) || 1328(1328) || Checksum OK || [wiki:runs_13 Run 13]
|20100726 || hal || [wiki:compilernames arm-artila-gcc -Os] || 3.3.2 || 11499075 || 374400 || 47546 (64087) || 4 (476) || 32 (476) || 1328(1328) || Checksum OK || [wiki:runs_14 Run 14]
|20100727 || hal || [wiki:compilernames arm-artila-gcc -Os] || 3.3.2 || 11433195 || 374828 || 47546 (64087) || 4 (476) || 32 (476) || 1328(1328) || Checksum OK || [wiki:runs_15 Run 15]
|20100728 || hal || [wiki:compilernames arm-artila-gcc -Os] || 3.3.2 || 14410564 || 374557 || 47546 (64087) || 4 (476) || 32 (476) || 1328(1328) || Checksum OK || [wiki:runs_16 Run 16]
