| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20100801 || blix || [wiki:compilernames avr-gcc 1284p -O0] || 4.3.4 (GCC) ||  ||  || 56696 (76572) || 128 (796) || 32 (2447) || unk(unk) || error || [wiki:runs_21 Run 21]
|20100802 || blix || [wiki:compilernames avr-gcc 1284p -O0] || 4.3.4 (GCC) ||  ||  || 56696 (76572) || 128 (796) || 32 (2447) || unk(unk) || error || [wiki:runs_22 Run 22]
|20101114 || clix || [wiki:compilernames avr-gcc 1284p -O0] || 4.3.4 (GCC) ||  ||  || 56798 (76674) || 128 (796) || 32 (2447) || unk(unk) || error || [wiki:runs_28 Run 28]
|20100801 || blix || [wiki:compilernames avr-gcc 1284p -O1] || 4.3.4 (GCC) || 321528347 || 11044422 || 59712 (68842) || 128 (540) || 32 (2447) || 242(242) || Checksum OK || [wiki:runs_21 Run 21]
|20100802 || blix || [wiki:compilernames avr-gcc 1284p -O1] || 4.3.4 (GCC) || 321528352 || 11044422 || 59712 (68842) || 128 (540) || 32 (2447) || 242(242) || Checksum OK || [wiki:runs_22 Run 22]
|20101114 || clix || [wiki:compilernames avr-gcc 1284p -O1] || 4.3.4 (GCC) || 321647156 || 11059107 || 60900 (70030) || 128 (540) || 32 (2447) || 242(242) || Checksum OK || [wiki:runs_28 Run 28]
|20100801 || blix || [wiki:compilernames avr-gcc 1284p -O2] || 4.3.4 (GCC) || 288356453 || 9855200 || 49388 (57634) || 128 (540) || 32 (2447) || 320(320) || Checksum OK || [wiki:runs_21 Run 21]
|20100802 || blix || [wiki:compilernames avr-gcc 1284p -O2] || 4.3.4 (GCC) || 288356453 || 9855200 || 49388 (57634) || 128 (540) || 32 (2447) || 320(320) || Checksum OK || [wiki:runs_22 Run 22]
|20101114 || clix || [wiki:compilernames avr-gcc 1284p -O2] || 4.3.4 (GCC) || 288496329 || 9871520 || 50718 (58964) || 128 (540) || 32 (2447) || 320(320) || Checksum OK || [wiki:runs_28 Run 28]
|20100801 || blix || [wiki:compilernames avr-gcc 1284p -O3] || 4.3.4 (GCC) || 288351021 || 9855023 || 49378 (57646) || 128 (540) || 32 (2447) || 318(318) || Checksum OK || [wiki:runs_21 Run 21]
|20100802 || blix || [wiki:compilernames avr-gcc 1284p -O3] || 4.3.4 (GCC) || 288351021 || 9855023 || 49378 (57646) || 128 (540) || 32 (2447) || 318(318) || Checksum OK || [wiki:runs_22 Run 22]
|20101114 || clix || [wiki:compilernames avr-gcc 1284p -O3] || 4.3.4 (GCC) || 288490898 || 9871343 || 50708 (58976) || 128 (540) || 32 (2447) || 318(318) || Checksum OK || [wiki:runs_28 Run 28]
|20100801 || blix || [wiki:compilernames avr-gcc 1284p -Os] || 4.3.4 (GCC) || 283425258 || 9840702 || 39998 (47704) || 128 (540) || 32 (2447) || 246(246) || Checksum OK || [wiki:runs_21 Run 21]
|20100802 || blix || [wiki:compilernames avr-gcc 1284p -Os] || 4.3.4 (GCC) || 283425260 || 9840702 || 39998 (47704) || 128 (540) || 32 (2447) || 246(246) || Checksum OK || [wiki:runs_22 Run 22]
|20101114 || clix || [wiki:compilernames avr-gcc 1284p -Os] || 4.3.4 (GCC) || 283570207 || 9859132 || 41310 (49016) || 128 (540) || 32 (2447) || 246(246) || Checksum OK || [wiki:runs_28 Run 28]
