| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20100722 || blix || [wiki:compilernames avr-gcc 1281 -O0] || 4.3.4 (GCC) ||  ||  || 35534 (55474) || 352 (1020) || 0 (1020) || unk(unk) || error || [wiki:runs_2 Run 2]
|20100727 || blix || [wiki:compilernames avr-gcc 1281 -O0] || 4.3.4 (GCC) ||  ||  || 35534 (55474) || 352 (1020) || 0 (1020) || unk(unk) || error || [wiki:runs_3 Run 3]
|20100728 || blix || [wiki:compilernames avr-gcc 1281 -O0] || 4.3.4 (GCC) ||  ||  || 35534 (55474) || 352 (1020) || 0 (1020) || unk(unk) || error || [wiki:runs_4 Run 4]
|20100728 || blix || [wiki:compilernames avr-gcc 1281 -O1] || 4.3.4 (GCC) || 50984494 || 4451917 || 21488 (30682) || 352 (764) || 0 (764) || 410(410) || Checksum OK || [wiki:runs_4 Run 4]
|20100727 || blix || [wiki:compilernames avr-gcc 1281 -O1] || 4.3.4 (GCC) || 50984561 || 4451923 || 21488 (30682) || 352 (764) || 0 (764) || 410(410) || Checksum OK || [wiki:runs_3 Run 3]
|20100722 || blix || [wiki:compilernames avr-gcc 1281 -O1] || 4.3.4 (GCC) || 50984981 || 4451960 || 21488 (30682) || 352 (764) || 0 (764) || 410(410) || Checksum OK || [wiki:runs_2 Run 2]
|20100728 || blix || [wiki:compilernames avr-gcc 1281 -O2] || 4.3.4 (GCC) || 49306654 || 4358662 || 20626 (28936) || 352 (764) || 0 (764) || 418(418) || Checksum OK || [wiki:runs_4 Run 4]
|20100727 || blix || [wiki:compilernames avr-gcc 1281 -O2] || 4.3.4 (GCC) || 49306718 || 4358668 || 20626 (28936) || 352 (764) || 0 (764) || 418(418) || Checksum OK || [wiki:runs_3 Run 3]
|20100722 || blix || [wiki:compilernames avr-gcc 1281 -O2] || 4.3.4 (GCC) || 49307127 || 4358704 || 20626 (28936) || 352 (764) || 0 (764) || 418(418) || Checksum OK || [wiki:runs_2 Run 2]
|20100728 || blix || [wiki:compilernames avr-gcc 1281 -O3] || 4.3.4 (GCC) || 49305625 || 4358654 || 20620 (28952) || 352 (764) || 0 (764) || 418(418) || Checksum OK || [wiki:runs_4 Run 4]
|20100727 || blix || [wiki:compilernames avr-gcc 1281 -O3] || 4.3.4 (GCC) || 49305690 || 4358660 || 20620 (28952) || 352 (764) || 0 (764) || 418(418) || Checksum OK || [wiki:runs_3 Run 3]
|20100722 || blix || [wiki:compilernames avr-gcc 1281 -O3] || 4.3.4 (GCC) || 49306097 || 4358696 || 20620 (28952) || 352 (764) || 0 (764) || 418(418) || Checksum OK || [wiki:runs_2 Run 2]
|20100728 || blix || [wiki:compilernames avr-gcc 1281 -Os] || 4.3.4 (GCC) || 49922731 || 4390245 || 20028 (27798) || 352 (764) || 0 (764) || 416(416) || Checksum OK || [wiki:runs_4 Run 4]
|20100727 || blix || [wiki:compilernames avr-gcc 1281 -Os] || 4.3.4 (GCC) || 49922797 || 4390251 || 20028 (27798) || 352 (764) || 0 (764) || 416(416) || Checksum OK || [wiki:runs_3 Run 3]
|20100722 || blix || [wiki:compilernames avr-gcc 1281 -Os] || 4.3.4 (GCC) || 49923207 || 4390287 || 20028 (27798) || 352 (764) || 0 (764) || 416(416) || Checksum OK || [wiki:runs_2 Run 2]
