| '''Cipher''' || '''Implementation''' || '''Empty Message''' || '''1 byte''' || '''32 bytes''' || '''512 bytes''' || '''1024 bytes''' || '''2048 bytes''' || '''Long Messages''' || '''Details''' 
|[wiki:ciphers_0hash 0hash] || empty || 72 || 72 || 2 || 0 || 0 || 0 || 0 || [wiki:measureDetailsPage_2_0hash_empty Details]
|[wiki:ciphers_blake32 blake32] || light || 68838 || 69849 || 2183 || 1101 || 1034 || 1000 || 966 || [wiki:measureDetailsPage_2_blake32_light Details]
|[wiki:ciphers_blake64 blake64] || avrcryptolib || 519075 || 519212 || 16233 || 4974 || 4467 || 4213 || 3960 || [wiki:measureDetailsPage_2_blake64_avrcryptolib Details]
|[wiki:ciphers_bmw256 bmw256] || avrcryptolib_asm || 64287 || 64287 || 2011 || 610 || 548 || 516 || 485 || [wiki:measureDetailsPage_2_bmw256_avrcryptolib_asm Details]
|[wiki:ciphers_bmw512 bmw512] || avrcryptolib || 766261 || 766270 || 23954 || 4466 || 3717 || 3343 || 2969 || [wiki:measureDetailsPage_2_bmw512_avrcryptolib Details]
|[wiki:ciphers_cubehash161 cubehash161] || unrolled || 3473248 || 3639283 || 273984 || 172208 || 168816 || 167120 || 165423 || [wiki:measureDetailsPage_2_cubehash161_unrolled Details]
|[wiki:ciphers_cubehash1616 cubehash1616] || unrolled || 3473247 || 3474436 || 119471 || 17696 || 14303 || 12607 || 10910 || [wiki:measureDetailsPage_2_cubehash1616_unrolled Details]
|[wiki:ciphers_cubehash162 cubehash162] || unrolled || 3473252 || 3474441 || 191560 || 89784 || 86392 || 84695 || 82999 || [wiki:measureDetailsPage_2_cubehash162_unrolled Details]
|[wiki:ciphers_cubehash1632 cubehash1632] || unrolled || 3473251 || 3474439 || 114319 || 12543 || 9150 || 7454 || 5758 || [wiki:measureDetailsPage_2_cubehash1632_unrolled Details]
|[wiki:ciphers_cubehash164 cubehash164] || unrolled || 3473249 || 3474438 || 150390 || 48614 || 45222 || 43525 || 41829 || [wiki:measureDetailsPage_2_cubehash164_unrolled Details]
|[wiki:ciphers_cubehash168 cubehash168] || unrolled || 3473249 || 3474438 || 129778 || 28002 || 24609 || 22913 || 21217 || [wiki:measureDetailsPage_2_cubehash168_unrolled Details]
|[wiki:ciphers_cubehash81 cubehash81] || unrolled || 1762407 || 1846974 || 139052 || 87398 || 85676 || 84815 || 83955 || [wiki:measureDetailsPage_2_cubehash81_unrolled Details]
|[wiki:ciphers_cubehash816 cubehash816] || unrolled || 1762407 || 1763596 || 60916 || 9262 || 7540 || 6680 || 5819 || [wiki:measureDetailsPage_2_cubehash816_unrolled Details]
|[wiki:ciphers_cubehash82 cubehash82] || unrolled || 1762408 || 1763597 || 97362 || 45708 || 43987 || 43126 || 42265 || [wiki:measureDetailsPage_2_cubehash82_unrolled Details]
|[wiki:ciphers_cubehash832 cubehash832] || unrolled || 1762408 || 1763596 || 58309 || 6656 || 4934 || 4073 || 3212 || [wiki:measureDetailsPage_2_cubehash832_unrolled Details]
|[wiki:ciphers_cubehash84 cubehash84] || unrolled || 1762407 || 1763597 || 76559 || 24905 || 23184 || 22323 || 21462 || [wiki:measureDetailsPage_2_cubehash84_unrolled Details]
|[wiki:ciphers_cubehash88 cubehash88] || unrolled || 1762404 || 1763593 || 66130 || 14476 || 12755 || 11894 || 11033 || [wiki:measureDetailsPage_2_cubehash88_unrolled Details]
|[wiki:ciphers_echo256 echo256] || avrcryptolib || 220674 || 220640 || 6903 || 1285 || 1280 || 1173 || 1065 || [wiki:measureDetailsPage_2_echo256_avrcryptolib Details]
|[wiki:ciphers_echo512 echo512] || avrcryptolib || 272835 || 272801 || 8533 || 2642 || 2375 || 2242 || 2108 || [wiki:measureDetailsPage_2_echo512_avrcryptolib Details]
|[wiki:ciphers_essence256 essence256] || gcc || 480656 || 1426396 || 44572 || 16515 || 15580 || 15113 || 14645 || [wiki:measureDetailsPage_2_essence256_gcc Details]
|[wiki:ciphers_essence384 essence384] || gcc || 1012331 || 2974175 || 92947 || 19007 || 17045 || 16064 || 15084 || [wiki:measureDetailsPage_2_essence384_gcc Details]
|[wiki:ciphers_fugue256 fugue256] || ref-xbx || 202758 || 214272 || 8859 || 2873 || 2674 || 2574 || 2474 || [wiki:measureDetailsPage_2_fugue256_ref-xbx Details]
|[wiki:ciphers_fugue512 fugue512] || ref-xbx || 468237 || 489020 || 19546 || 5784 || 5326 || 5096 || 4867 || [wiki:measureDetailsPage_2_fugue512_ref-xbx Details]
