| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20120117 || clix || [wiki:r2011compilernames avr-gcc 1284p -O0] || 4.3.4 (GCC) || 92085682 || 2405782 || 2594 (22890) || 0 (864) || 32 (2448) || 405(413) || Checksum OK || [wiki:r2011runs_301 Run 301]
|20120120 || clix || [wiki:r2011compilernames avr-gcc 1284p -O0] || 4.3.4 (GCC) || 92085678 || 2405781 || 2594 (22890) || 0 (864) || 32 (2448) || 405(413) || Checksum OK || [wiki:r2011runs_302 Run 302]
|20120117 || clix || [wiki:r2011compilernames avr-gcc 1284p -O1] || 4.3.4 (GCC) || 49656359 || 2405665 || 2524 (12010) || 0 (608) || 32 (2448) || 395(395) || Checksum OK || [wiki:r2011runs_301 Run 301]
|20120120 || clix || [wiki:r2011compilernames avr-gcc 1284p -O1] || 4.3.4 (GCC) || 49656357 || 2405666 || 2524 (12010) || 0 (608) || 32 (2448) || 395(395) || Checksum OK || [wiki:r2011runs_302 Run 302]
|20120117 || clix || [wiki:r2011compilernames avr-gcc 1284p -O2] || 4.3.4 (GCC) || 48944546 || 2405647 || 2508 (11066) || 0 (608) || 32 (2448) || 397(397) || Checksum OK || [wiki:r2011runs_301 Run 301]
|20120120 || clix || [wiki:r2011compilernames avr-gcc 1284p -O2] || 4.3.4 (GCC) || 48944543 || 2405648 || 2508 (11066) || 0 (608) || 32 (2448) || 397(397) || Checksum OK || [wiki:r2011runs_302 Run 302]
|20120117 || clix || [wiki:r2011compilernames avr-gcc 1284p -O3] || 4.3.4 (GCC) || 48944546 || 2405648 || 2508 (11660) || 0 (608) || 32 (2448) || 397(397) || Checksum OK || [wiki:r2011runs_301 Run 301]
|20120120 || clix || [wiki:r2011compilernames avr-gcc 1284p -O3] || 4.3.4 (GCC) || 48944544 || 2405648 || 2508 (11660) || 0 (608) || 32 (2448) || 397(397) || Checksum OK || [wiki:r2011runs_302 Run 302]
|20120117 || clix || [wiki:r2011compilernames avr-gcc 1284p -Os] || 4.3.4 (GCC) || 49116682 || 2405648 || 2508 (10494) || 0 (608) || 32 (2448) || 397(397) || Checksum OK || [wiki:r2011runs_301 Run 301]
|20120120 || clix || [wiki:r2011compilernames avr-gcc 1284p -Os] || 4.3.4 (GCC) || 49116679 || 2405647 || 2508 (10494) || 0 (608) || 32 (2448) || 397(397) || Checksum OK || [wiki:r2011runs_302 Run 302]
