| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20120117 || clix || [wiki:r2011compilernames arm-elf-gcc -O1] || 4.3.2 (GCC) || 7023459 || 530559 || 43016 (43016) || 24 (24) || 2488 (2488) || 888(888) || Checksum OK || [wiki:r2011runs_303 Run 303]
|20120120 || clix || [wiki:r2011compilernames arm-elf-gcc -O1] || 4.3.2 (GCC) || 7023459 || 530559 || 43016 (43016) || 24 (24) || 2488 (2488) || 888(888) || Checksum OK || [wiki:r2011runs_304 Run 304]
|20120216 || clix || [wiki:r2011compilernames arm-elf-gcc -O1] || 4.3.2 (GCC) || 7023463 || 530560 || 43016 (43016) || 24 (24) || 2488 (2488) || 888(888) || Checksum OK || [wiki:r2011runs_320 Run 320]
|20120117 || clix || [wiki:r2011compilernames arm-elf-gcc -O2] || 4.3.2 (GCC) || 5952380 || 457057 || 27028 (36316) || 0 (24) || 0 (2488) || 884(884) || Checksum OK || [wiki:r2011runs_303 Run 303]
|20120120 || clix || [wiki:r2011compilernames arm-elf-gcc -O2] || 4.3.2 (GCC) || 5952379 || 457057 || 27028 (36316) || 0 (24) || 0 (2488) || 884(884) || Checksum OK || [wiki:r2011runs_304 Run 304]
|20120216 || clix || [wiki:r2011compilernames arm-elf-gcc -O2] || 4.3.2 (GCC) || 5952382 || 457057 || 27028 (36316) || 0 (24) || 0 (2488) || 884(884) || Checksum OK || [wiki:r2011runs_320 Run 320]
|20120117 || clix || [wiki:r2011compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || 5943995 || 456992 || 27088 (37516) || 0 (24) || 0 (2488) || 884(884) || Checksum failed || [wiki:r2011runs_303 Run 303]
|20120120 || clix || [wiki:r2011compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || 5943995 || 456992 || 27088 (37516) || 0 (24) || 0 (2488) || 884(884) || Checksum failed || [wiki:r2011runs_304 Run 304]
|20120216 || clix || [wiki:r2011compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || 5943998 || 456992 || 27088 (37516) || 0 (24) || 0 (2488) || 884(884) || Checksum failed || [wiki:r2011runs_320 Run 320]
|20120117 || clix || [wiki:r2011compilernames arm-elf-gcc -Os] || 4.3.2 (GCC) || 6347365 || 475084 || 27280 (36040) || 0 (24) || 0 (2488) || 884(884) || Checksum OK || [wiki:r2011runs_303 Run 303]
|20120120 || clix || [wiki:r2011compilernames arm-elf-gcc -Os] || 4.3.2 (GCC) || 6347365 || 475084 || 27280 (36040) || 0 (24) || 0 (2488) || 884(884) || Checksum OK || [wiki:r2011runs_304 Run 304]
|20120216 || clix || [wiki:r2011compilernames arm-elf-gcc -Os] || 4.3.2 (GCC) || 6347369 || 475084 || 27280 (36040) || 0 (24) || 0 (2488) || 884(884) || Checksum OK || [wiki:r2011runs_320 Run 320]
